method,filter,selectivity,recall_at_10,mean_latency_ms,p50_latency_ms,p95_latency_ms,qps,index_build_time_s,gamma,acorn_edu_n,M_beta
acorn_lite_hnswlib,sel100_unfiltered,100.0,1.0,1.1511193899997352,0.502202000006946,2.6261349500288107,868.7196208207648,2.2090835571289062,20.0,,
acorn_lite_hnswlib,sel75_label_ne_3,74.633,1.0,1.3181113099983577,0.620554499988657,3.8487151500362384,758.6612696626098,2.2090835571289062,20.0,,
acorn_lite_hnswlib,sel50_label_in_01,51.167,1.0,1.5383221700005834,1.0826879999967787,3.86889499996812,650.0588885094342,2.2090835571289062,20.0,,
acorn_lite_hnswlib,sel25_label_eq_0,25.6,1.0,1.9465048800032037,1.6250239999919813,5.0963590000066,513.7413269666985,2.2090835571289062,20.0,,
acorn_lite_hnswlib,sel25_label_eq_1,25.567,1.0,1.5926352800039467,1.6041110000060144,2.39504095000882,627.8901469503563,2.2090835571289062,20.0,,
acorn_lite_hnswlib,sel25_label_eq_2,23.467,1.0,1.2525697899985744,1.2668379999638546,2.074850399995398,798.3587086202504,2.2090835571289062,20.0,,
acorn_lite_hnswlib,sel25_label_eq_3,25.367,1.0,1.9365887899988365,1.4868135000085658,4.514503849986794,516.3718829543575,2.2090835571289062,20.0,,
acorn_lite_hnswlib,sel10_label0_tag_lt_0.4,9.733,1.0,2.5838572399999293,2.427013499982422,4.775590200023315,387.01828588642434,2.2090835571289062,20.0,,
acorn_lite_hnswlib,sel5_label0_tag_lt_0.2,5.2,1.0,3.6975298999999495,3.246926499997471,7.558362050025379,270.45082177699595,2.2090835571289062,20.0,,
acorn_edu_small_scale,sel100_unfiltered,100.0,0.361,17.463378269998202,15.716749500001015,26.143356450026538,57.2626890707615,0.11542296409606934,,2000.0,64.0
acorn_edu_small_scale,sel75_label_ne_3,75.5,0.44099999999999995,26.54211833999966,28.521885499998234,41.78848175000666,37.67596795365704,0.11542296409606934,,2000.0,64.0
acorn_edu_small_scale,sel50_label_in_01,51.2,0.5159999999999997,20.298925879997682,15.702535000002626,36.68638159998352,49.263690399765835,0.11542296409606934,,2000.0,64.0
acorn_edu_small_scale,sel25_label_eq_0,25.55,0.9810000000000003,25.5701672899977,23.342168500022353,34.16282124997565,39.10807421237212,0.11542296409606934,,2000.0,64.0
acorn_edu_small_scale,sel25_label_eq_1,25.65,0.9450000000000004,32.46979666999948,31.84291950003626,56.998978100020274,30.797852236751194,0.11542296409606934,,2000.0,64.0
acorn_edu_small_scale,sel25_label_eq_2,24.3,0.9960000000000001,20.85587110000347,18.19601750000288,36.4722313499584,47.948129100195374,0.11542296409606934,,2000.0,64.0
acorn_edu_small_scale,sel25_label_eq_3,24.5,1.0,10.040743380000663,9.18963999998823,16.77711165000062,99.59421948695736,0.11542296409606934,,2000.0,64.0
acorn_edu_small_scale,sel10_label0_tag_lt_0.4,9.85,0.9940000000000001,16.551305819999698,16.167448999993894,20.89811815000928,60.41819363833241,0.11542296409606934,,2000.0,64.0
acorn_edu_small_scale,sel5_label0_tag_lt_0.2,5.25,1.0,12.968037769993543,14.385032500001671,17.97938900000133,77.1126686809841,0.11542296409606934,,2000.0,64.0
